haskellPackages.amazonka-rds                                 amazonka-rds-1.4.5
haskellPackages.amazonka-redshift                            amazonka-redshift-1.4.5
haskellPackages.amazonka-rekognition                         amazonka-rekognition-1.4.5
haskellPackages.amazonka-route53                             amazonka-route53-1.4.5
haskellPackages.amazonka-route53-domains                     amazonka-route53-domains-1.4.5
haskellPackages.amazonka-s3                                  amazonka-s3-1.4.5
haskellPackages.amazonka-s3-streaming                        amazonka-s3-streaming-0.2.0.3
haskellPackages.amazonka-sdb                                 amazonka-sdb-1.4.5
haskellPackages.amazonka-servicecatalog                      amazonka-servicecatalog-1.4.5
haskellPackages.amazonka-ses                                 amazonka-ses-1.4.5
haskellPackages.amazonka-shield                              amazonka-shield-1.4.5
haskellPackages.amazonka-sms                                 amazonka-sms-1.4.5
haskellPackages.amazonka-snowball                            amazonka-snowball-1.4.5
haskellPackages.amazonka-sns                                 amazonka-sns-1.4.5
haskellPackages.amazonka-sqs                                 amazonka-sqs-1.4.5
haskellPackages.amazonka-ssm                                 amazonka-ssm-1.4.5
haskellPackages.amazonka-stepfunctions                       amazonka-stepfunctions-1.4.5
haskellPackages.amazonka-storagegateway                      amazonka-storagegateway-1.4.5
haskellPackages.amazonka-sts                                 amazonka-sts-1.4.5
haskellPackages.amazonka-support                             amazonka-support-1.4.5
haskellPackages.amazonka-swf                                 amazonka-swf-1.4.5
haskellPackages.amazonka-test                                amazonka-test-1.4.5
haskellPackages.amazonka-waf                                 amazonka-waf-1.4.5
haskellPackages.amazonka-workspaces                          amazonka-workspaces-1.4.5
haskellPackages.amazonka-xray                                amazonka-xray-1.4.5
haskellPackages.amby                                         amby-0.3.2
haskellPackages.AMI                                          AMI-0.1
haskellPackages.ampersand                                    ampersand-3.1.0
haskellPackages.amqp                                         amqp-0.15.1
haskellPackages.amqp_0_16_0                                  amqp-0.16.0
haskellPackages.amqp-conduit                                 amqp-conduit-0.3.0.0
haskellPackages.amqp-utils                                   amqp-utils-0.2.1.4
haskellPackages.amqp-worker                                  amqp-worker-0.2.4
haskellPackages.amrun                                        amrun-0.0.0.5
haskellPackages.analyze                                      analyze-0.1.0.0
haskellPackages.analyze-client                               analyze-client-0.1.0.2
haskellPackages.anansi                                       anansi-0.4.8
haskellPackages.anansi-hscolour                              anansi-hscolour-0.1.2
haskellPackages.anansi-pandoc                                anansi-pandoc-0.1.3
haskellPackages.anatomy                                      anatomy-0.4
haskellPackages.android                                      android-0.0.2
haskellPackages.android-lint-summary                         android-lint-summary-0.2.1
haskellPackages.AndroidViewHierarchyImporter                 AndroidViewHierarchyImporter-0.1.0.1
haskellPackages.angel                                        angel-0.6.2
haskellPackages.angle                                        angle-0.8.1.0
haskellPackages.animalcase                                   animalcase-0.1.0.2
haskellPackages.Animas                                       Animas-0.2
haskellPackages.animate                                      animate-0.0.0
haskellPackages.anki-tools                                   anki-tools-0.1.0.0
haskellPackages.annah                                        annah-1.0.0
haskellPackages.annihilator                                  annihilator-0.1.0.0
haskellPackages.annotated-wl-pprint                          annotated-wl-pprint-0.7.0
haskellPackages.Annotations                                  Annotations-0.2.2
haskellPackages.anonymous-sums                               anonymous-sums-0.6.0.0
haskellPackages.anonymous-sums-tests                         anonymous-sums-tests-0.4.0.0
haskellPackages.ansi-pretty                                  ansi-pretty-0.1.2.1
haskellPackages.ansi-terminal                                ansi-terminal-0.6.3.1
haskellPackages.ansi-terminal_0_7_1_1                        ansi-terminal-0.7.1.1
haskellPackages.ansi-wl-pprint                               ansi-wl-pprint-0.6.7.3
haskellPackages.ansi-wl-pprint_0_6_8_1                       ansi-wl-pprint-0.6.8.1
haskellPackages.Ansi2Html                                    Ansi2Html-0.9
haskellPackages.ansigraph                                    ansigraph-0.3.0.3
haskellPackages.antagonist                                   antagonist-0.1.0.30
haskellPackages.antfarm                                      antfarm-0.1.0.0
haskellPackages.anticiv                                      anticiv-0.1.0.5
haskellPackages.antigate                                     antigate-2.0.2
haskellPackages.antimirov                                    antimirov-0.1.0
haskellPackages.antiprimes                                   antiprimes-0.1.0.1
haskellPackages.antiquoter                                   antiquoter-0.1.1.0
haskellPackages.antisplice                                   antisplice-0.17.1.1
haskellPackages.antlrc                                       antlrc-0.0.2
haskellPackages.ANum                                         ANum-0.1.1.0
haskellPackages.anydbm                                       anydbm-1.0.7
haskellPackages.aosd                                         aosd-0.2.1
haskellPackages.ap-reflect                                   ap-reflect-0.3
haskellPackages.apache-md5                                   apache-md5-0.6.1.4
